Game,Quarter,Possession,State A,State B,Result,Length,Binary Length
1,1,1,6,8,Loss,12,long
1,1,1,8,9,Loss,12,long
1,1,1,9,13,Loss,12,long
1,1,1,13,12,Loss,12,long
1,1,1,12,17,Loss,12,long
1,1,1,17,20,Loss,12,long
1,1,1,20,15,Loss,12,long
1,1,1,15,10,Loss,12,long
1,1,1,10,16,Loss,12,long
1,1,1,16,20,Loss,12,long
1,1,1,20,12,Loss,12,long
1,1,1,12,0a,Loss,12,long
1,1,2,6,8,Loss,6,short
1,1,2,8,12,Loss,6,short
1,1,2,12,17,Loss,6,short
1,1,2,17,20,Loss,6,short
1,1,2,20,21,Loss,6,short
1,1,2,21,2,Loss,6,short
1,1,3,6,9,Loss,10,short
1,1,3,9,8,Loss,10,short
1,1,3,8,12,Loss,10,short
1,1,3,12,11,Loss,10,short
1,1,3,11,16,Loss,10,short
1,1,3,16,12,Loss,10,short
1,1,3,12,17,Loss,10,short
1,1,3,17,20,Loss,10,short
1,1,3,20,21,Loss,10,short
1,1,3,21,2,Loss,10,short
1,1,4,6,9,Loss,12,long
1,1,4,9,12,Loss,12,long
1,1,4,12,17,Loss,12,long
1,1,4,17,20,Loss,12,long
1,1,4,20,21,Loss,12,long
1,1,4,21,24,Loss,12,long
1,1,4,24,13,Loss,12,long
1,1,4,13,12,Loss,12,long
1,1,4,12,17,Loss,12,long
1,1,4,17,20,Loss,12,long
1,1,4,20,15,Loss,12,long
1,1,4,15,0a,Loss,12,long
1,1,5,6,8,Loss,3,short
1,1,5,8,12,Loss,3,short
1,1,5,12,3,Loss,3,short
1,1,6,5,6,Loss,14,long
1,1,6,6,8,Loss,14,long
1,1,6,8,13,Loss,14,long
1,1,6,13,18,Loss,14,long
1,1,6,18,19,Loss,14,long
1,1,6,19,14,Loss,14,long
1,1,6,14,19,Loss,14,long
1,1,6,19,20,Loss,14,long
1,1,6,20,17,Loss,14,long
1,1,6,17,12,Loss,14,long
1,1,6,12,17,Loss,14,long
1,1,6,17,20,Loss,14,long
1,1,6,20,18,Loss,14,long
1,1,6,18,0a,Loss,14,long
1,1,7,5,6,Loss,7,short
1,1,7,6,7,Loss,7,short
1,1,7,7,8,Loss,7,short
1,1,7,8,17,Loss,7,short
1,1,7,17,20,Loss,7,short
1,1,7,20,14,Loss,7,short
1,1,7,14,0a,Loss,7,short
1,1,8,5,6,Loss,6,short
1,1,8,6,8,Loss,6,short
1,1,8,8,12,Loss,6,short
1,1,8,12,17,Loss,6,short
1,1,8,17,20,Loss,6,short
1,1,8,20,0b,Loss,6,short
1,1,9,6,0b,Loss,1,short
1,1,10,5,6,Loss,5,short
1,1,10,6,8,Loss,5,short
1,1,10,8,9,Loss,5,short
1,1,10,9,13,Loss,5,short
1,1,10,13,3,Loss,5,short
1,1,11,5,6,Loss,6,short
1,1,11,6,7,Loss,6,short
1,1,11,7,11,Loss,6,short
1,1,11,11,16,Loss,6,short
1,1,11,16,17,Loss,6,short
1,1,11,17,0a,Loss,6,short
1,1,12,5,6,Loss,6,short
1,1,12,6,9,Loss,6,short
1,1,12,9,8,Loss,6,short
1,1,12,8,12,Loss,6,short
1,1,12,12,16,Loss,6,short
1,1,12,16,0a,Loss,6,short
1,1,13,24,11,Loss,9,short
1,1,13,11,16,Loss,9,short
1,1,13,16,15,Loss,9,short
1,1,13,15,11,Loss,9,short
1,1,13,11,12,Loss,9,short
1,1,13,12,8,Loss,9,short
1,1,13,8,17,Loss,9,short
1,1,13,17,20,Loss,9,short
1,1,13,20,2,Loss,9,short
1,1,14,6,8,Loss,8,short
1,1,14,8,12,Loss,8,short
1,1,14,12,17,Loss,8,short
1,1,14,17,21,Loss,8,short
1,1,14,21,15,Loss,8,short
1,1,14,15,11,Loss,8,short
1,1,14,11,20,Loss,8,short
1,1,14,20,0b,Loss,8,short
1,1,15,6,8,Loss,26,long
1,1,15,8,12,Loss,26,long
1,1,15,12,17,Loss,26,long
1,1,15,17,13,Loss,26,long
1,1,15,13,18,Loss,26,long
1,1,15,18,23,Loss,26,long
1,1,15,23,9,Loss,26,long
1,1,15,9,13,Loss,26,long
1,1,15,13,18,Loss,26,long
1,1,15,18,8,Loss,26,long
1,1,15,8,9,Loss,26,long
1,1,15,9,17,Loss,26,long
1,1,15,17,20,Loss,26,long
1,1,15,20,11,Loss,26,long
1,1,15,11,17,Loss,26,long
1,1,15,17,20,Loss,26,long
1,1,15,20,21,Loss,26,long
1,1,15,21,15,Loss,26,long
1,1,15,15,22,Loss,26,long
1,1,15,22,7,Loss,26,long
1,1,15,7,8,Loss,26,long
1,1,15,8,12,Loss,26,long
1,1,15,12,17,Loss,26,long
1,1,15,17,20,Loss,26,long
1,1,15,20,21,Loss,26,long
1,1,15,21,2,Loss,26,long
1,1,16,6,7,Loss,5,short
1,1,16,7,11,Loss,5,short
1,1,16,11,16,Loss,5,short
1,1,16,16,15,Loss,5,short
1,1,16,15,0a,Loss,5,short
1,1,17,5,6,Loss,8,short
1,1,17,6,7,Loss,8,short
1,1,17,7,11,Loss,8,short
1,1,17,11,12,Loss,8,short
1,1,17,12,11,Loss,8,short
1,1,17,11,16,Loss,8,short
1,1,17,16,15,Loss,8,short
1,1,17,15,2,Loss,8,short
1,1,18,22,8,Loss,5,short
1,1,18,8,12,Loss,5,short
1,1,18,12,17,Loss,5,short
1,1,18,17,20,Loss,5,short
1,1,18,20,0a,Loss,5,short
1,1,19,5,6,Loss,8,short
1,1,19,6,8,Loss,8,short
1,1,19,8,12,Loss,8,short
1,1,19,12,18,Loss,8,short
1,1,19,18,20,Loss,8,short
1,1,19,20,15,Loss,8,short
1,1,19,15,11,Loss,8,short
1,1,19,11,3,Loss,8,short
1,1,20,6,8,Loss,6,short
1,1,20,8,9,Loss,6,short
1,1,20,9,13,Loss,6,short
1,1,20,13,18,Loss,6,short
1,1,20,18,17,Loss,6,short
1,1,20,17,0a,Loss,6,short
1,1,21,6,8,Loss,3,short
1,1,21,8,7,Loss,3,short
1,1,21,7,0b,Loss,3,short
1,1,22,5,6,Loss,7,short
1,1,22,6,9,Loss,7,short
1,1,22,9,8,Loss,7,short
1,1,22,8,12,Loss,7,short
1,1,22,12,17,Loss,7,short
1,1,22,17,20,Loss,7,short
1,1,22,20,2,Loss,7,short
1,1,23,6,8,Loss,11,long
1,1,23,8,12,Loss,11,long
1,1,23,12,17,Loss,11,long
1,1,23,17,20,Loss,11,long
1,1,23,20,21,Loss,11,long
1,1,23,21,2,Loss,11,long
1,1,23,6,7,Loss,11,long
1,1,23,7,11,Loss,11,long
1,1,23,11,16,Loss,11,long
1,1,23,16,15,Loss,11,long
1,1,23,15,2,Loss,11,long
1,1,24,5,6,Loss,7,short
1,1,24,6,7,Loss,7,short
1,1,24,7,11,Loss,7,short
1,1,24,11,16,Loss,7,short
1,1,24,16,15,Loss,7,short
1,1,24,15,21,Loss,7,short
1,1,24,21,3,Loss,7,short
1,1,25,5,6,Loss,2,short
1,1,25,6,1,Loss,2,short
1,1,26,6,8,Loss,6,short
1,1,26,8,9,Loss,6,short
1,1,26,9,13,Loss,6,short
1,1,26,13,18,Loss,6,short
1,1,26,18,19,Loss,6,short
1,1,26,19,0a,Loss,6,short
1,2,27,5,6,Loss,8,short
1,2,27,6,9,Loss,8,short
1,2,27,9,8,Loss,8,short
1,2,27,8,11,Loss,8,short
1,2,27,11,10,Loss,8,short
1,2,27,10,15,Loss,8,short
1,2,27,15,21,Loss,8,short
1,2,27,21,2,Loss,8,short
1,2,28,6,8,Loss,8,short
1,2,28,8,12,Loss,8,short
1,2,28,12,13,Loss,8,short
1,2,28,13,19,Loss,8,short
1,2,28,19,18,Loss,8,short
1,2,28,18,13,Loss,8,short
1,2,28,13,18,Loss,8,short
1,2,28,18,0a,Loss,8,short
